date,weighted_price,ma_20,ma_60,ma_120,ma_240
2021-03-02,184.59509459885578,,,,
2021-03-03,180.85318276965057,,,,
2021-03-04,174.43122794842122,,,,
2021-03-05,181.54208503055548,,,,
2021-03-08,172.8835226374194,,,,
2021-03-09,184.99640041438093,,,,
2021-03-10,182.18576957097406,,,,
2021-03-11,184.9355633259539,,,,
2021-03-12,181.23116669752304,,,,
2021-03-15,195.363855559017,,,,
2021-03-16,193.50632648541048,,,,
2021-03-17,205.0998030529921,,,,
2021-03-18,191.31284009730143,,,,
2021-03-19,200.66817494628287,,,,
2021-03-22,193.27785776595218,,,,
2021-03-23,189.66940832522783,,,,
2021-03-24,181.67802589243604,,,,
2021-03-25,183.7353147241243,,,,
2021-03-26,192.45182012240883,,,,
2021-03-29,195.18205070604571,187.47997453354665,,,
2021-03-30,194.02839359962388,187.95163948358507,,,
2021-03-31,194.99739903002927,188.65885029660402,,,
2021-04-01,203.46850728513158,190.11071426343952,,,
2021-04-05,207.7924257509987,191.4232312994617,,,
2021-04-06,211.10501907747062,193.33430612146424,,,
2021-04-07,204.0659014943531,194.28778117546284,,,
2021-04-08,205.997263737916,195.4783558838099,,,
2021-04-09,204.2754313137334,196.4453492831989,,,
2021-04-12,200.96903944526136,197.43224292058582,,,
2021-04-13,197.81599268098057,197.55484977668402,,,
2021-04-14,199.19862325496817,197.8394646151619,,,
2021-04-15,199.82515915611305,197.57573242031793,,,
2021-04-16,200.2585136675071,198.02301609882824,,,
2021-04-19,188.9434151677186,197.4367781099,,,
2021-04-20,191.47004470205184,197.346387456705,,,
2021-04-21,194.1339210428905,197.56961309258813,,,
2021-04-22,191.57395724745146,198.0644096603389,,,
2021-04-23,199.99486900171996,198.8773873742187,,,
2021-04-26,200.2014239517613,199.2648675656863,,,
2021-04-27,193.5404688609138,199.18278847342972,,,
2021-04-28,186.55059306260256,198.80889844657867,,,
2021-04-29,185.95070590074147,198.35656379011425,,,
2021-04-30,185.60234911834718,197.46325588177507,,,
2021-05-03,190.8804428338072,196.61765673591546,,,
2021-05-04,186.93242164405632,195.40902686424474,,,
2021-05-05,187.44134693073156,194.57779913606367,,,
2021-05-06,184.58391749797744,193.50713182406676,,,
2021-05-07,192.35399890120962,192.91106020344057,,,
2021-05-10,184.91466501420214,192.1083414818876,,,
2021-05-11,187.351016553812,191.58509267552915,,,
2021-05-12,176.69726379641077,190.4600247026013,,,
2021-05-13,181.2551863642973,189.53152606301052,,,
2021-05-14,183.34576421709377,188.6858885904898,,,
2021-05-17,178.64163802773803,188.1707997334908,,,
2021-05-18,177.90977636311317,187.49278631654389,,,
2021-05-19,179.83304934478994,186.77774273163885,,,
2021-05-20,186.17981737639042,186.5080357380858,,,
2021-05-21,191.27924586690608,186.0722545813451,,,
2021-05-24,190.98526313354336,185.6114465404342,,,
2021-05-25,191.30053917668673,185.49945005622286,190.72073768773308,,
2021-05-26,194.65586032892026,185.90471341953872,190.88841711656747,,
2021-05-27,196.83489401275617,186.44892282513948,191.15477897061922,,
2021-05-28,197.16585839487308,187.02709828896576,191.53368947806013,,
2021-06-01,194.69997727202156,187.21807501087648,191.75298768208452,,
2021-06-02,202.27975788255117,187.9854418228012,192.24292493617006,,
2021-06-03,194.8670363078502,188.35672629165714,192.40743553439458,,
2021-06-04,197.10065744204852,188.98256328886072,192.65601699891246,,
2021-06-07,195.87990382791867,189.15885853519617,192.83842267394522,,
2021-06-08,192.794339369708,189.55284225297146,193.03114221848162,,
2021-06-09,188.44695540727957,189.60763919564482,192.915860549286,,
2021-06-10,193.2572744441859,190.43563972803358,192.91170968193225,,
2021-06-11,195.14747616195316,191.1302542179164,192.74583756708162,,
2021-06-14,196.4456549078358,191.7852487524535,192.83138448059051,,
2021-06-15,194.68691359713506,192.58751253092333,192.73169679143805,,
2021-06-16,195.33589953196287,193.45881868936584,192.76599748753824,,
2021-06-17,199.32475566499625,194.43340400537613,192.92691994320106,,
2021-06-18,193.75281330803924,194.81205380195857,193.12816640012775,,
2021-06-21,191.3257650085693,194.81437975904174,193.25467390486853,,
2021-06-22,190.05517343709832,194.76787527421948,193.21472979344668,,
2021-06-23,204.24813535816287,195.4152550832933,193.3658312043153,,
2021-06-24,197.19705597989037,195.5423148658418,193.4186422439864,,
2021-06-25,203.83001205033756,195.89207076772087,193.56585246099155,,
2021-06-28,203.54163532545718,196.21085961425007,193.56707126166364,,
2021-06-29,204.54675017501486,196.70319825939976,193.51297666873057,,
2021-06-30,199.72737520783997,196.57557912566418,193.32334927090338,,
2021-07-01,202.08107249893905,196.93628093521863,193.29026878764645,,
2021-07-02,203.87436719252668,197.27496642274255,193.25488717855666,,
2021-07-06,214.54943945687413,198.20844320419033,193.42612064760903,,
2021-07-07,199.61145178151736,198.54929882478078,193.4034941865466,,
2021-07-08,197.35171437622137,198.99453677322788,193.39575621480063,,
2021-07-09,200.14117189032467,199.3387316455348,193.4114653587232,,
2021-07-12,205.28288038573788,199.84550185672404,193.50242737921698,,
2021-07-13,206.74397144778973,200.36041768372172,193.61051834222172,,
2021-07-14,215.26791366388267,201.38946768705912,194.0492599838244,,
2021-07-15,200.64174281817645,201.6547598513698,194.2021216190932,,
2021-07-16,214.37716537766408,202.4073803370032,194.53950902467275,,
2021-07-19,195.70760015860267,202.50511967953136,194.60840307319188,,
2021-07-20,198.76478214916582,202.8770705365612,194.58790162564935,,
2021-07-21,203.32044595067103,203.54033416223984,194.63988532563116,,
2021-07-22,189.94968105000893,202.8254114468321,194.58003886211608,,
2021-07-23,198.41966231822673,202.88654176374894,194.77785668304315,,
2021-07-26,205.49477064587188,202.96977969352568,195.103591095462,,
2021-07-27,201.71891304516384,202.878643579511,195.3722004942423,,
2021-07-28,216.43269604748187,203.47294087313435,195.79807138113682,,
