date,weighted_price,ma_20,ma_60,ma_120,ma_240
2021-03-02,142.85970466172662,,,,
2021-03-03,144.23913049225433,,,,
2021-03-04,140.2801118049988,,,,
2021-03-05,150.88469795474802,,,,
2021-03-08,137.0820882047087,,,,
2021-03-09,140.45187577157333,,,,
2021-03-10,126.52919077976763,,,,
2021-03-11,147.09160079968808,,,,
2021-03-12,144.12900846758563,,,,
2021-03-15,143.54246979613708,,,,
2021-03-16,156.39697944502413,,,,
2021-03-17,174.13117364049026,,,,
2021-03-18,144.05043428419773,,,,
2021-03-19,142.59261093713766,,,,
2021-03-22,142.39272418055882,,,,
2021-03-23,140.82330234551222,,,,
2021-03-24,139.45063497812373,,,,
2021-03-25,128.64326360618603,,,,
2021-03-26,118.61404274994291,,,,
2021-03-29,123.50264741020803,141.3843846155285,,,
2021-03-30,133.3360193977652,140.90820035233043,,,
2021-03-31,134.36321820622723,140.41440473802908,,,
2021-04-01,137.92361975329385,140.2965801354438,,,
2021-04-05,138.9083714214629,139.69776380877957,,,
2021-04-06,136.9951875671789,139.6934187769031,,,
2021-04-07,128.4106761881498,139.09135879773189,,,
2021-04-08,158.21969809351845,140.67588416341943,,,
2021-04-09,158.5547526706092,141.24904175696548,,,
2021-04-12,145.2865171531212,141.30691719124226,,,
2021-04-13,177.39448096848147,142.9995177498595,,,
2021-04-14,152.765464045419,142.8179419798792,,,
2021-04-15,155.20259055387643,141.87151282554856,,,
2021-04-16,153.03141237576563,142.32056173012694,,,
2021-04-19,160.00520097536815,143.19119123203845,,,
2021-04-20,154.6282599719522,143.80296802160814,,,
2021-04-21,130.16180619606038,143.26989321413552,,,
2021-04-22,164.7842431033588,144.5365736203973,,,
2021-04-23,155.9041911478111,145.89961999747854,,,
2021-04-26,164.62114180261383,148.19997495011208,,,
2021-04-27,148.54171073923814,149.45192811656358,,,
2021-04-28,162.39004777706478,150.90462953552858,,,
2021-04-29,160.10915977342182,152.19192661388828,,,
2021-04-30,116.356214407084,151.1135563465778,,,
2021-05-03,141.47856379239283,151.2420659651243,,,
2021-05-04,142.73332260837222,151.52897271718396,,,
2021-05-05,129.91396434779134,151.60413712516603,,,
2021-05-06,144.35444835583513,150.91087463828188,,,
2021-05-07,142.13165663158492,150.08971983633066,,,
2021-05-10,147.45821299527972,150.19830462843862,,,
2021-05-11,156.23653474437003,149.140407317233,,,
2021-05-12,137.34050040112294,148.36915913501824,,,
2021-05-13,119.04854378294024,146.56145679647142,,,
2021-05-14,120.0251128084656,144.91114181810642,,,
2021-05-17,124.50667998530776,143.1362157686034,,,
2021-05-18,142.76377160217322,142.54299135011442,,,
2021-05-19,145.07514506858826,143.28865829374084,,,
2021-05-20,120.67195331127206,141.08304380413648,,,
2021-05-21,115.32623316435448,139.05414590496366,,,
2021-05-24,142.35355370171152,137.94076649991854,,,
2021-05-25,140.52389360175664,137.53987564304447,142.7920627917122,,
2021-05-26,174.20841068928286,138.13079378865538,143.3145412255048,,
2021-05-27,161.66328956592162,138.20850027828038,143.60494387673256,,
2021-05-28,146.3804665046713,139.70971288315974,143.70661645506047,,
2021-06-01,162.79232843138644,140.77540111510942,143.9050769630044,,
2021-06-02,153.10209654984703,141.29383981218317,144.17207710209007,,
2021-06-03,166.40907161481073,143.11859517553413,144.6046970328107,,
2021-06-04,179.78811682185224,144.89027859883498,145.49234580017875,,
2021-06-07,185.2928652152827,147.04833902801988,146.12903354043868,,
2021-06-08,159.82588530373746,147.66672264344274,146.39064815437453,,
2021-06-09,175.5156963990523,148.63068072617688,146.92353526442312,,
2021-06-10,195.41032791599793,151.5341721019206,147.57375773893938,,
2021-06-11,182.61841030082712,154.71266542781495,147.71521168327828,,
2021-06-14,174.6203287939368,157.44242622708853,148.22470992510728,,
2021-06-15,170.14529877166493,159.72435716640638,148.68392138901606,,
2021-06-16,194.35280305835371,162.3038087392154,149.54992270364602,,
2021-06-17,176.18860068625781,163.85948152009888,150.1393443426584,,
2021-06-18,176.91297530864227,166.67153261996742,150.76371668150037,,
2021-06-21,198.8068157890874,170.84556175120403,151.9331092178821,,
2021-06-22,219.7368464085361,174.71472638654527,153.61848927885865,,
2021-06-23,196.21671069551775,177.49936724123333,154.8303903336138,,
2021-06-24,195.83437906480947,178.58066566000963,155.87202966139787,,
2021-06-25,165.56164400521527,178.77558338197434,156.39200342471435,,
2021-06-28,182.90874984152316,180.60199754881694,157.1417555928515,,
2021-06-29,181.89238678828514,181.55700046666186,157.85815584896517,,
2021-06-30,169.74213805245083,182.38900254179208,158.40393835705308,,
2021-07-01,168.38491814471317,182.48779486828718,159.0701757229958,,
2021-07-02,171.2682825386264,182.0618031541259,159.28765213041424,,
2021-07-06,190.56406741178847,182.32536326395117,159.82114070943393,,
2021-07-07,189.39876064042784,183.8040070307857,160.55634476755571,,
2021-07-08,191.7554160111182,184.61599301138898,160.79569368493296,,
2021-07-09,179.69326503326866,183.8301398672525,161.2444903680638,,
2021-07-12,177.4539578620579,183.57191724531407,161.6153464898668,,
2021-07-13,184.77772490508266,184.07978705087137,162.14445169868878,,
2021-07-14,187.29256878614336,184.93715055159527,162.59924116220165,,
2021-07-15,158.41887922509738,183.14045435993245,162.6624181497541,,
2021-07-16,166.07432302504145,182.63474047687166,163.2609600969038,,
2021-07-19,178.38421793208357,182.7083026080437,163.4876263440492,,
2021-07-20,169.3610873650438,181.23601618684154,163.71190794766974,,
2021-07-21,160.66687626000999,178.28251767941524,163.64600352195967,,
2021-07-22,191.97858831922167,178.0706115606004,164.36995148162606,,
2021-07-23,207.2438425679122,178.64108473575556,165.11751472814018,,
2021-07-26,183.13916850285926,179.51996096063777,165.50134820696414,,
2021-07-27,187.828070084828,179.765926972803,166.6925458015932,,
2021-07-28,182.4959417768066,179.79610472222907,167.37616876800013,,
2021-07-29,177.93358283892013,180.20567696155254,167.96283977184257,,
2021-07-30,153.76944908972024,179.4749035088029,168.3604311842081,,
2021-08-02,166.76580034984616,179.24977939936386,168.73395371744158,,
2021-08-03,170.37132987209333,178.24014252237913,169.20461493811672,,
2021-08-04,179.97673614424068,177.76904129756977,169.74659032393274,,
2021-08-05,169.506600515784,176.65660052280305,169.96775808678962,,
2021-08-06,159.49550765327268,175.64671265380326,170.3370082076588,,
2021-08-09,174.10561700231085,175.4792956108159,171.2546260946483,,
2021-08-10,177.13155392569416,175.09698706184648,172.20640011326878,,
2021-08-11,168.43333504072626,174.1540253745756,172.9385110308591,,
2021-08-12,155.688427878468,174.01750280724414,173.15392196879733,,
