date,weighted_price,ma_20,ma_60,ma_120,ma_240
2021-03-02,166.49118857774044,,,,
2021-03-03,177.31686526256658,,,,
2021-03-04,166.28712654814774,,,,
2021-03-05,162.51369925510087,,,,
2021-03-08,152.82175698810738,,,,
2021-03-09,171.31606237384165,,,,
2021-03-10,171.72432337236447,,,,
2021-03-11,164.93780752208264,,,,
2021-03-12,179.4144638163011,,,,
2021-03-15,176.331705072409,,,,
2021-03-16,174.90373618617497,,,,
2021-03-17,174.47542841343198,,,,
2021-03-18,171.5054126016765,,,,
2021-03-19,158.06511479837124,,,,
2021-03-22,182.16376258615009,,,,
2021-03-23,171.78830559095638,,,,
2021-03-24,164.89627157345595,,,,
2021-03-25,160.73262847451974,,,,
2021-03-26,180.19049092169075,,,,
2021-03-29,181.2567770902177,170.45664635126536,,,
2021-03-30,177.7462904575204,171.01940144525435,,,
2021-03-31,181.75278265328305,171.24119731479018,,,
2021-04-01,187.63790735954257,172.3087363553599,,,
2021-04-05,198.03684759188224,174.084893772199,,,
2021-04-06,183.58220717605,175.6229162815961,,,
2021-04-07,190.92747283115864,176.60348680446197,,,
2021-04-08,206.57598246440475,178.34606975906397,,,
2021-04-09,181.83362122075286,179.19086044399748,,,
2021-04-12,202.63660116626477,180.35196731149568,,,
2021-04-13,197.83183605101578,181.42697386042602,,,
2021-04-14,190.1982284901812,182.19169847562634,,,
2021-04-15,206.35451052419182,183.78565258116433,,,
2021-04-16,193.39589895919616,184.88017689904032,,,
2021-04-19,188.08295658643002,186.38106898844325,,,
2021-04-20,172.46896274683448,185.89632899647745,,,
2021-04-21,184.27147002709034,186.52048721828416,,,
2021-04-22,169.7758574779625,186.7644665135095,,,
2021-04-23,176.5189885714014,187.55378451835355,,,
2021-04-26,182.76248476694434,187.68238421061625,,,
2021-04-27,160.39061293833177,186.63907600302196,,,
2021-04-28,169.10882562224904,186.20720276125837,,,
2021-04-29,174.6690710508999,185.85301718113925,,,
2021-04-30,170.47043159316365,184.99464339282028,,,
2021-05-03,157.96217559178385,182.99090979281536,,,
2021-05-04,174.92963890493147,182.55828137925943,,,
2021-05-05,169.5984646257788,181.49183096899043,,,
2021-05-06,170.88592814326657,179.70732825293354,,,
2021-05-07,166.2951490838314,178.93040464608748,,,
2021-05-10,168.55678942809416,177.22641405917892,,,
2021-05-11,178.6905012741884,176.26934732033757,,,
2021-05-12,183.00393795618245,175.90963279363763,,,
2021-05-13,160.94346875794358,173.63908070532523,,,
2021-05-14,181.19817455309936,173.02919448502035,,,
2021-05-17,191.45219842388568,173.19765657689317,,,
2021-05-18,168.79204937817633,173.01381090846024,,,
2021-05-19,174.29639351530093,172.51505708287078,,,
2021-05-20,197.51752271535378,173.90214034474033,,,
2021-05-21,187.1809592509521,174.43523887871788,,,
2021-05-24,188.99621599006306,174.7469254398738,,,
2021-05-25,199.74547350283837,176.71466846809912,177.9367969407955,,
2021-05-26,200.00726292285668,178.25959033312955,178.49539817988077,,
2021-05-27,181.85903611559903,178.61908858636448,178.5711010274313,,
2021-05-28,183.8940132499975,179.29026766920617,178.8645491391288,,
2021-06-01,183.4056264951256,180.56244021437325,179.21274792646255,,
2021-06-02,170.93669183980967,180.36279286111719,179.51466350732423,,
2021-06-03,178.05969646090566,180.7858544528735,179.6270574087753,,
2021-06-04,176.4440101741838,181.0637585544194,179.7057188554723,,
2021-06-07,172.54573085653087,181.37628764305435,179.8325175777131,,
2021-06-08,170.23088368776783,181.45999235603804,179.67945790890423,,
2021-06-09,164.03832056654016,180.72738332065563,179.47456816713975,,
2021-06-10,181.1282179157955,180.63359731863628,179.57830952930007,,
2021-06-11,185.91333895782378,181.88209082863028,179.7689413717066,,
2021-06-14,186.4231167991699,182.1433379409338,180.01756977499815,,
2021-06-15,191.45326986981584,182.1433915132303,180.5740390261889,,
2021-06-16,183.13608181564902,182.86059313510395,180.59024434668055,,
2021-06-17,182.65501488809332,183.2785242037436,180.7713561682995,,
2021-06-18,186.96326418578263,182.750811277265,181.13913937850492,,
2021-06-21,186.4072873273596,182.7121276810854,181.5670503593856,,
2021-06-22,179.47690120824586,182.23616194199454,181.55515719749485,,
2021-06-23,177.04990010394883,181.10138327205004,181.48504258105706,,
2021-06-24,200.04575890956144,181.10330807138527,181.85670038859107,,
2021-06-25,222.73092118217917,183.1469023247143,182.53966936407267,,
