date,weighted_price,ma_20,ma_60,ma_120,ma_240
2021-03-02,189.6596975961384,,,,
2021-03-03,181.46738658164236,,,,
2021-03-04,185.216249123873,,,,
2021-03-05,185.05455073758597,,,,
2021-03-08,181.3454642181673,,,,
2021-03-09,190.7746937708522,,,,
2021-03-10,189.55881821113854,,,,
2021-03-11,201.8544976834565,,,,
2021-03-12,194.9816178728339,,,,
2021-03-15,194.60180348749776,,,,
2021-03-16,203.05809022040768,,,,
2021-03-17,203.21104660328714,,,,
2021-03-18,192.84197627292778,,,,
2021-03-19,205.47535487338098,,,,
2021-03-22,210.61481517703078,,,,
2021-03-23,202.98534500965576,,,,
2021-03-24,199.02725985808362,,,,
2021-03-25,197.26415366392757,,,,
2021-03-26,194.78446167132122,,,,
2021-03-29,205.45475007420163,195.46160163537053,,,
2021-03-30,200.7538445504006,196.01630898308363,,,
2021-03-31,201.72964702777955,197.02942200539047,,,
2021-04-01,201.660434728121,197.85163128560288,,,
2021-04-05,214.84979840963302,199.34139366920525,,,
2021-04-06,207.37499174630537,200.64287004561214,,,
2021-04-07,217.32578521870505,201.97042461800478,,,
2021-04-08,218.0040706772088,203.3926872413083,,,
2021-04-09,206.7018343895859,203.63505407661475,,,
2021-04-12,207.25919250885377,204.24893280841576,,,
2021-04-13,209.99940555366905,205.0188129117243,,,
2021-04-14,213.06466786361912,205.51914179388487,,,
2021-04-15,209.9971151207242,205.85844521975673,,,
2021-04-16,209.69658897365247,206.70117585479298,,,
2021-04-19,209.4249548461518,206.89865585343153,,,
2021-04-20,214.39907578195061,207.0878688836775,,,
2021-04-21,217.73919955255957,207.82556161082272,,,
2021-04-22,213.76730931476507,208.56256408365675,,,
2021-04-23,209.68622717807062,209.1836677593639,,,
2021-04-26,200.6183292192344,209.4753611367596,,,
2021-04-27,205.47583104526882,209.4764151853129,,,
2021-04-28,211.43132568400816,210.01028924199332,,,
2021-04-29,230.57490974685516,211.4525523779471,,,
2021-04-30,208.62215370265307,211.8006383266737,,,
2021-05-03,203.2785436935967,211.22207559087187,,,
2021-05-04,206.05925995846312,211.15628900147976,,,
2021-05-05,204.41933892060715,210.51096668657487,,,
2021-05-06,210.03244913869156,210.11238560964904,,,
2021-05-07,204.33692248485198,209.99414001441232,,,
2021-05-10,201.9299409687316,209.72767743740624,,,
2021-05-11,202.65404429631965,209.36040937453873,,,
2021-05-12,199.66733925630206,208.69054294417288,,,
2021-05-13,204.40043513187408,208.41070894473037,,,
2021-05-14,209.87444562995103,208.41960177754532,,,
2021-05-17,207.09325624160357,208.3030168473179,,,
2021-05-18,206.5068221708263,207.9084041667617,,,
2021-05-19,216.3265468454233,207.83777153140485,,,
2021-05-20,211.50833366809894,207.72482274907156,,,
2021-05-21,193.46878671775798,206.91395072605593,,,
2021-05-24,214.9267832046102,207.62937342532473,,,
2021-05-25,213.3306093324291,208.02211233968274,204.32004305345538,,
2021-05-26,207.8576414403887,207.84342812750174,204.62334211752622,,
2021-05-27,221.53762165916623,207.39156372311732,205.2911793688183,,
2021-05-28,212.7339208631791,207.59715208114363,205.74980723114004,,
2021-06-01,211.95302244098724,208.03087601851317,206.19811509286345,,
2021-06-02,215.21056834641098,208.48844143791052,206.7625334950008,,
2021-06-03,215.39358897685617,209.03715394072296,207.17284841510087,,
2021-06-04,217.86685625556422,209.42887429656662,207.64464904917466,,
2021-06-07,232.06637377052584,210.81534686085033,208.14818031729246,,
2021-06-08,212.41669094213842,211.33968435952065,208.43876486844752,,
