date,weighted_price,ma_20,ma_60,ma_120,ma_240
2021-03-02,315.90814888427747,,,,
2021-03-03,271.65526939962115,,,,
2021-03-04,289.5139845058759,,,,
2021-03-05,275.910305317589,,,,
2021-03-08,297.71475261406187,,,,
2021-03-09,299.6674964190335,,,,
2021-03-10,344.245651905737,,,,
2021-03-11,303.4511692429867,,,,
2021-03-12,310.60386989439286,,,,
2021-03-15,300.357436286108,,,,
2021-03-16,255.23325139809577,,,,
2021-03-17,287.117832474637,,,,
2021-03-18,318.643477177975,,,,
2021-03-19,270.8452002331588,,,,
2021-03-22,300.0599463828678,,,,
2021-03-23,296.6730729625787,,,,
2021-03-24,297.9170275377663,,,,
2021-03-25,293.1121564811052,,,,
2021-03-26,288.568477555832,,,,
2021-03-29,307.049998092595,296.2124262383148,,,
2021-03-30,279.586648327641,294.3963512104829,,,
2021-03-31,291.9556552003703,295.4113705005204,,,
2021-04-01,366.0700520820146,299.2391738793273,,,
2021-04-05,311.6506963815183,301.02619343252377,,,
2021-04-06,323.3922793571324,302.31006976967734,,,
2021-04-07,290.31724237261216,301.84255706735627,,,
2021-04-08,301.8982429928647,299.7251866217126,,,
2021-04-09,297.0253888639084,299.4038976027587,,,
2021-04-12,322.75304644615613,300.01135643034684,,,
2021-04-13,313.3113945428296,300.65905434318296,,,
2021-04-14,322.86872024381165,304.04082778546876,,,
2021-04-15,321.72341959089164,305.7711071412815,,,
2021-04-16,325.57407591488123,306.1176370781268,,,
2021-04-19,318.7566825844575,308.5132111956917,,,
2021-04-20,301.8305212724316,308.60173994017,,,
2021-04-21,349.9963181156113,311.26790219782157,,,
2021-04-22,318.71699155139424,312.30790039850297,,,
2021-04-23,349.2086701527056,315.112726082083,,,
2021-04-26,302.11626493508425,315.7901154510456,,,
2021-04-27,311.8884975936697,316.03204042609934,,,
2021-04-28,349.9259193641958,319.5490039779271,,,
2021-04-29,340.79411474880726,321.9909269553489,,,
2021-04-30,355.75500160289903,321.47517443139316,,,
2021-05-03,339.6912615984797,322.8772026922412,,,
2021-05-04,343.9518323131992,323.9051803400445,,,
2021-05-05,313.30440631982833,325.05453853740534,,,
2021-05-06,278.8280913489982,323.90103095521204,,,
2021-05-07,285.06575849390254,323.3030494367118,,,
2021-05-10,359.42040829716245,325.1364175292621,,,
2021-05-11,333.8660841128836,326.16415200776476,,,
2021-05-12,359.9947637798237,328.0204541845653,,,
2021-05-13,311.57695286575745,327.5131308483086,,,
2021-05-14,332.2654401370637,327.8476990594178,,,
2021-05-17,361.293739653067,329.9745519128482,,,
2021-05-18,293.16582701281806,329.54131719986754,,,
2021-05-19,310.012309143695,327.54211675127175,,,
2021-05-20,373.39212786598716,330.27587356700144,,,
2021-05-21,400.46144777273634,332.8385124480029,,,
2021-05-24,397.2398587064563,337.59469213657155,,,
2021-05-25,340.48974461450615,339.02475448761334,317.08974038400913,,
2021-05-26,358.8606333133888,339.471490185073,317.80561512449435,,
2021-05-27,303.82855470884846,337.62321218307505,318.34183654631477,,
