date,weighted_price,ma_20,ma_60,ma_120,ma_240
2021-03-02,127.38489270418218,,,,
2021-03-03,121.15574741680493,,,,
2021-03-04,111.95340329162917,,,,
2021-03-05,118.72735685742617,,,,
2021-03-08,120.0974976113308,,,,
2021-03-09,128.51675401964275,,,,
2021-03-10,119.20217265049611,,,,
2021-03-11,131.09493982823435,,,,
2021-03-12,124.39261267186026,,,,
2021-03-15,133.47319622156732,,,,
2021-03-16,129.86800297739964,,,,
2021-03-17,142.20977195367558,,,,
2021-03-18,120.52315073104829,,,,
2021-03-19,136.74589320064072,,,,
2021-03-22,136.71850112819897,,,,
2021-03-23,134.01263621668735,,,,
2021-03-24,124.40150793789533,,,,
2021-03-25,124.07733128318847,,,,
2021-03-26,134.50816701332954,,,,
2021-03-29,129.78342406529748,127.44234798902679,,,
2021-03-30,136.2465284133005,127.88542977448269,,,
2021-03-31,135.68525032157353,128.6119049197211,,,
2021-04-01,143.4077069693471,130.18462010360702,,,
2021-04-05,140.9107455170632,131.29378953658886,,,
2021-04-06,140.93250489607007,132.33553990082584,,,
2021-04-07,138.98578709482084,132.85899155458475,,,
2021-04-08,148.55332944813108,134.32654939446647,,,
2021-04-09,141.46398843244572,134.84500182467704,,,
2021-04-12,143.34989739389457,135.79286606077875,,,
2021-04-13,144.98976900037454,136.36869469971913,,,
2021-04-14,152.42514913648785,137.49655200767353,,,
2021-04-15,147.92903151810637,137.78251498589506,,,
2021-04-16,139.5007513383203,138.73139501625866,,,
2021-04-19,129.0983360572618,138.34901715908973,,,
2021-04-20,141.823449322565,138.60426456880802,,,
2021-04-21,139.20702137664756,138.86398382680605,,,
2021-04-22,120.26262699143862,138.65703977948323,,,
2021-04-23,138.53549194111764,139.37994781237967,,,
2021-04-26,140.46294097460006,139.6776865104432,,,
2021-04-27,143.16957781233836,140.34699419779523,,,
2021-04-28,148.50612131590165,140.95997384292528,,,
2021-04-29,154.4101405304281,141.89621835336803,,,
2021-04-30,140.6140951752664,141.75653776366397,,,
2021-05-03,144.2936589811311,141.92568343686736,,,
2021-05-04,134.91537351094877,141.62482686761132,,,
2021-05-05,141.5546108047673,141.75326805310866,,,
2021-05-06,132.6307961055412,140.95714138597913,,,
2021-05-07,135.02105347854098,140.6349946382839,,,
2021-05-10,129.06307858410088,139.9206536977942,,,
2021-05-11,117.32167072949115,138.53724878425004,,,
2021-05-12,112.1754381593476,136.52476323539307,,,
2021-05-13,113.59674232451825,134.80814877571362,,,
2021-05-14,132.22797912159805,134.44451016487753,,,
2021-05-17,125.6705215634794,134.2731194401884,,,
2021-05-18,127.35079124820263,133.54948653647028,,,
2021-05-19,127.99066964301485,132.98866894978866,,,
2021-05-20,130.05728346253846,133.47840177334362,,,
2021-05-21,127.83887539617507,132.94357094609651,,,
2021-05-24,136.44685094254004,132.74276644449353,,,
2021-05-25,137.59281980288264,132.46392854402072,133.4177569102809,,
2021-05-26,137.62192545738412,131.91971875109485,133.5883741228343,,
2021-05-27,126.36843578771605,130.51763351395925,133.67525226234946,,
2021-05-28,142.79551183419977,130.6267043469059,134.18928740472563,,
2021-06-01,136.48609886033725,130.23632634086624,134.4852664381075,,
2021-06-02,141.18449441844115,130.54978238624085,134.83671638489267,,
2021-06-03,140.73445728192857,130.5087747100989,135.04034477259742,,
2021-06-04,139.09884198821518,130.83217700423262,135.37195592822607,,
2021-06-07,151.7749636357955,131.66987251209534,135.71662299168543,,
2021-06-08,131.78101450556704,131.80576930816864,135.8397630222472,,
2021-06-09,140.9013515782227,132.98475335060522,135.9635656115248,,
2021-06-10,136.32143311158268,134.19205309821695,136.07112278042786,,
2021-06-11,134.61044247358768,135.24273810567044,135.94446728909304,,
2021-06-14,132.72587355685195,135.26763282743315,136.14784600285645,,
2021-06-15,144.92914031981198,136.23056376524977,136.28423345484262,,
2021-06-16,135.64881892400822,136.64546514904004,136.26640541810613,,
2021-06-17,142.88429888454175,137.3901466111164,136.41426646257037,,
2021-06-18,133.4427940646205,137.55942214122052,136.56495456468244,,
2021-06-21,134.53281069447036,137.89411890613525,136.73921255487048,,
2021-06-22,135.47414876949813,137.84548379748315,136.7553122508066,,
2021-06-23,137.88930163704546,137.86030788919132,136.89041021033574,,
2021-06-24,140.06191900270457,137.98230756645734,136.9540000534925,,
2021-06-25,184.86832418603072,140.90730198637306,137.77371795123344,,
2021-06-28,141.6008015970503,140.8475664745156,137.74360286169517,,
2021-06-29,136.54635640299412,140.85057935164843,137.67086304312733,,
2021-06-30,142.2541584704878,140.90406255425074,137.69289060270097,,
2021-07-01,147.08124185325482,141.22140178281705,137.82781484867488,,
2021-07-02,150.71878439686142,141.8023989032494,137.86390576448704,,
2021-07-06,140.70565558136178,141.2489335005277,137.85126688363565,,
2021-07-07,139.65563773466386,141.64266466198256,137.78969588931514,,
2021-07-08,132.54877402418396,141.2250357842806,137.5823459730453,,
2021-07-09,134.77582316270252,141.1477552868366,137.28819054014886,,
2021-07-12,122.27669817475592,140.53106807189502,136.86065165109304,,
2021-07-13,124.14775543520591,140.1021621658127,136.60476838604112,,
2021-07-14,128.8490462128382,139.298157460464,136.60061355530073,,
2021-07-15,128.68575084049613,138.9500040562884,136.3816519139329,,
2021-07-16,140.31604191278703,138.82159120770066,136.40013558953524,,
2021-07-19,130.04053608923684,138.6514783089315,136.56310074116521,,
2021-07-20,129.3329584157954,138.39148569499773,136.40972518240986,,
2021-07-21,142.67628324025299,138.7515924185355,136.44661422017072,,
2021-07-22,128.95844516411898,138.30504959488917,136.20976200936704,,
2021-07-23,132.8226992017574,137.9430886048418,135.948371640798,,
2021-07-26,134.70845398756194,135.43509509491835,135.62001019841688,,
2021-07-27,129.62303228219008,134.83620662917536,135.43682581686562,,
2021-07-28,124.4991298006409,134.2338452990577,135.10691699719078,,
