Date,Memory & Storage,IC Design (ASIC/Custom),GPU/CPU & Compute,EDA & Design Software,Semicap Equipment,Foundry & Manufacturing,Analog & Power Semis,Networking & Optical,Thermal & Power Infrastructure,Cybersecurity Software,Enterprise Software & Data,Cloud & Platforms,Data Center REITs
2025-03-03,0.969868231005606,0.9529436477129629,0.9436515098639999,0.9678248237075799,0.9719543687803572,0.9682410596263995,0.9842565877736507,0.9402879164863627,0.9306822543493042,0.9738111548323026,0.9783463988981593,0.9763763327157751,1.0095588856864561
2025-03-04,0.9365364404512516,0.9634238315856041,0.9417754847470242,0.9742852959926518,0.9813432661480098,0.9989593838859903,0.9801165817641905,0.9414142803653025,0.9323253576625932,0.9858144669282438,0.9687764475328251,0.9751057493374193,1.0026517435723123
2025-03-05,0.9388018460585813,0.9853128652018692,0.9452464449738732,1.0015660968356837,1.006370102948258,1.0203263281473147,1.0011239392672233,0.96100475606477,0.950978485785171,0.9741506742639364,0.9979014531919724,0.997613632808017,1.0112861124006929
2025-03-06,0.8829115341359507,0.8918425715921496,0.9114607275972582,0.9904374539105528,0.972709384118935,0.9990996917958224,0.9641814253656429,0.9049033130362334,0.9135024948471541,0.9513012420385971,0.8923239884772028,0.9740676370643434,0.9828977199881884
2025-03-07,0.9014714563592194,0.9193192285701239,0.9327312442287989,1.003338554015694,1.0014302795054855,1.0199342136373315,0.9913670706515019,0.9110358804097913,0.9393542646458722,0.9504263305486147,0.8986944577150434,0.9713649045082358,0.9935985775520638
2025-03-10,0.8686762658444419,0.8480325968645808,0.8873086077696741,0.9544208773725088,0.9559776084324171,1.0068958096571063,0.9539993032130084,0.8644905521059413,0.8973582874648349,0.89523972633741,0.8439257148838001,0.9356053996697297,0.982275191255477
2025-03-11,0.8861030596143717,0.8566906465369438,0.8803077768141375,0.9543625674601829,0.9040041262034976,0.9810104823304284,0.9262980092935665,0.8714418798169367,0.9212727731653594,0.9275322011715265,0.8633892268197608,0.9386876988370976,0.9802505311814822
2025-03-12,0.9153429750585755,0.8724892365542063,0.9160000454306226,0.9628352981621418,0.9217827815087721,0.9869938585944629,0.9250448272250099,0.8848706120977677,0.9528688136935982,0.9375546348007916,0.893185481640335,0.9529304976921994,0.9840300434065073
2025-03-13,0.9024082980244762,0.8635974642782055,0.9417156129197644,0.952756605033494,0.9157869519715255,0.966231898701415,0.9105717721412777,0.8518832178746424,0.929488032499776,0.903285754832203,0.8596990164539801,0.9268226677471246,0.96945127173211
2025-03-14,0.9470473832360337,0.8787334097956367,0.9768358097439883,0.9891700735610326,0.9493048352576016,0.9974342380665794,0.9395081675917989,0.8755154552179825,0.9658827748802254,0.9420403484241405,0.889202720939135,0.9482031500589347,0.9993105836340007
2025-03-17,0.9652469536793791,0.8938850043865757,1.0050511115284204,1.0013018787334556,0.9589993312580792,1.00603357876783,0.9651404211720819,0.8965329070558461,0.9836074626588938,0.9596529626708773,0.9026924485885894,0.9428697562940717,1.0119968451791697
2025-03-18,0.9513141027001456,0.8702655882879708,0.9926716701250599,0.9928588912097275,0.9468600389515914,1.0061032587810703,0.9514936433488281,0.8814700997731896,0.9549283347189175,0.9554249588239331,0.8835297082533823,0.9222348466413421,1.0095466339998869
2025-03-19,0.9574164194200048,0.8893551844418223,0.9827004919122748,1.0079378312202254,0.9523142059800137,1.0080163485480629,0.9586580498756624,0.905769948102332,0.9880073107987113,0.9749458231524675,0.8958221106970969,0.9333658961948782,1.015170485327266
2025-03-20,0.9556099593608287,0.8652241359203764,0.987703662695212,0.9987717867212431,0.949100189798055,1.0048178159084589,0.9392143132179687,0.89566007435251,0.989627844804857,0.9666629607952646,0.8951740879326282,0.9312953546451913,1.0158260760289537
2025-03-21,0.9235238359696788,0.8705819317413859,0.9874530267382888,0.9899046004988596,0.9352899754717435,1.0068179120945415,0.9260478437979841,0.8931393816955884,0.9892227375070687,0.962446810881999,0.9059901044398736,0.9412346643797981,1.015684493854579
2025-03-24,0.9371354633999571,0.8919074235737204,1.0239965751780125,1.0056377103427843,0.9626233951423413,1.028701246635735,0.9700282223142688,0.9486202565404905,1.0267538276722021,0.9808709596124786,0.9335345278177931,0.9649978328689979,1.0207514570281424
2025-03-25,0.918835702981904,0.8743648017126358,1.0232568991402826,1.0049672870600261,0.954880092835081,1.0185446216078642,0.9716189177483513,0.9434701512504841,1.0191529103616248,1.0083178311204082,0.9363686282452067,0.976234130376827,0.9973123911013326
2025-03-26,0.9055846761534965,0.8394222068520474,0.970783017113993,0.9777823673882309,0.9350360683841199,0.9968358851209472,0.9499510228749217,0.9069016322187378,0.9563347666152502,0.9852781913575192,0.9081830567854461,0.9537510364300523,0.9931793972448905
2025-03-27,0.8969300531779952,0.8126946570523089,0.9548930831062882,0.96779318430742,0.9182746152670574,0.9820105658102514,0.9371718575377552,0.876553761753863,0.9168371321738841,0.962021849592907,0.8923189774358188,0.9470449052355892,0.9925056593357797
2025-03-28,0.8699911594110225,0.7852485587132653,0.9243353399013224,0.9423818868852121,0.8910225127330272,0.9620274175401736,0.9029664259397041,0.8602603158420672,0.8961677814753388,0.9437492336787258,0.8563465616916236,0.9080489671810325,0.9851244886424873
2025-03-31,0.8636546524211725,0.7790912832942547,0.9183775168778644,0.9250182923944423,0.89295667877394,0.9930315662456748,0.9075221517022559,0.8554621108290652,0.882183137360631,0.9270983675710541,0.8453771716099117,0.9034140750191966,0.9948030853826137
2025-04-01,0.8715707283088444,0.7859044872447408,0.9159525276196321,0.9347158842591681,0.8950871422334548,0.9820853609350132,0.9030770801020669,0.8584065651964431,0.9091497719628003,0.9385332819421888,0.8559163982749332,0.9170992230848323,1.0030912178779257
2025-04-02,0.88090170379768,0.7961176001045424,0.918670848081384,0.946933815639388,0.905175698903877,0.9842065678197429,0.9117168319223433,0.8881490489995837,0.9389768447310823,0.9573818445272698,0.8744822354290435,0.9207969608947135,1.008410960877348
