sector,ema_window,threshold,trades,win_rate,avg_profit,median_profit
Memory & Storage,5,0.0,3,0.3333333333333333,-0.004469694595029217,-0.031617053125514105
Memory & Storage,5,0.0025,294,0.564625850340136,0.027873295820828807,0.023162739120174414
Memory & Storage,5,0.005,488,0.5860655737704918,0.034399231910915776,0.022441672440384752
Memory & Storage,5,0.01,642,0.5654205607476636,0.02826135979548769,0.020323559111986134
Memory & Storage,5,0.02,569,0.5940246045694201,0.03909106759638927,0.034634884785408326
Memory & Storage,10,0.0,3,0.3333333333333333,-0.004469694595029217,-0.031617053125514105
Memory & Storage,10,0.0025,198,0.5202020202020202,0.009537866252254354,0.010705237876463047
Memory & Storage,10,0.005,333,0.5615615615615616,0.022618279196867996,0.019424565373958425
Memory & Storage,10,0.01,489,0.5685071574642127,0.025909391570210667,0.024622289783352125
Memory & Storage,10,0.02,535,0.5925233644859813,0.03322308772384366,0.029354930595173245
Memory & Storage,20,0.0,3,0.3333333333333333,-0.004469694595029217,-0.031617053125514105
Memory & Storage,20,0.0025,147,0.5986394557823129,0.027988708741386644,0.03751269363391607
Memory & Storage,20,0.005,225,0.56,0.03037359252980591,0.032815981827493124
Memory & Storage,20,0.01,341,0.5219941348973607,0.01874412853180291,0.010145205288891512
Memory & Storage,20,0.02,422,0.5379146919431279,0.019476822363434402,0.01817170777877586
Memory & Storage,60,0.0,3,0.3333333333333333,-0.004469694595029217,-0.031617053125514105
Memory & Storage,60,0.0025,57,0.5087719298245614,-0.007417941315857467,0.0009755948694740724
Memory & Storage,60,0.005,98,0.5714285714285714,0.005710102974020802,0.021388749454662848
Memory & Storage,60,0.01,172,0.5174418604651163,-0.0017856989959145321,0.008506617481270129
Memory & Storage,60,0.02,253,0.4901185770750988,-0.00553598194545929,-0.0030230471656914615
Memory & Storage,120,0.0,3,0.3333333333333333,-0.004469694595029217,-0.031617053125514105
Memory & Storage,120,0.0025,55,0.6,0.019858618633024436,0.02767275011870929
Memory & Storage,120,0.005,86,0.627906976744186,0.024914068069798907,0.03384104486562656
Memory & Storage,120,0.01,136,0.6323529411764706,0.025372154964733915,0.03036867418756617
Memory & Storage,120,0.02,186,0.5483870967741935,0.008822898054634059,0.013151549546042474
Memory & Storage,240,0.0,3,0.3333333333333333,-0.004469694595029217,-0.031617053125514105
Memory & Storage,240,0.0025,43,0.4883720930232558,0.001663294221304902,-0.0020029739739457764
Memory & Storage,240,0.005,69,0.463768115942029,0.0018321137385918648,-0.008439890969755393
Memory & Storage,240,0.01,114,0.4473684210526316,0.003401776691107487,-0.013142833053660374
Memory & Storage,240,0.02,147,0.47619047619047616,0.007254865914450858,-0.007101830863454617
IC Design (ASIC/Custom),5,0.0,3,0.6666666666666666,0.0031855109120577283,0.02057995238463106
IC Design (ASIC/Custom),5,0.0025,296,0.5,0.008593208901251346,0.0026331226567349875
IC Design (ASIC/Custom),5,0.005,534,0.5243445692883895,0.013522883045846782,0.0070146961007307995
IC Design (ASIC/Custom),5,0.01,713,0.5161290322580645,0.014845724071765624,0.006789752418640882
IC Design (ASIC/Custom),5,0.02,575,0.5495652173913044,0.02236251519423255,0.022102772558810324
IC Design (ASIC/Custom),10,0.0,3,0.6666666666666666,0.0031855109120577283,0.02057995238463106
IC Design (ASIC/Custom),10,0.0025,206,0.5048543689320388,0.014376912819416806,0.0028079833342312677
IC Design (ASIC/Custom),10,0.005,352,0.48863636363636365,0.006989915031876431,-0.0021270516851326637
IC Design (ASIC/Custom),10,0.01,534,0.4887640449438202,0.007168394533521106,-0.001868212258724744
IC Design (ASIC/Custom),10,0.02,565,0.5309734513274337,0.016378788356035925,0.009267898581445388
IC Design (ASIC/Custom),20,0.0,3,0.6666666666666666,0.0031855109120577283,0.02057995238463106
IC Design (ASIC/Custom),20,0.0025,139,0.5683453237410072,0.012895344853411176,0.02200594482572127
IC Design (ASIC/Custom),20,0.005,226,0.5088495575221239,0.010826272592355359,0.005825825710079946
IC Design (ASIC/Custom),20,0.01,355,0.49859154929577465,0.014315531470307709,0.0
IC Design (ASIC/Custom),20,0.02,453,0.4768211920529801,0.006753007460487402,-0.005997639780811359
IC Design (ASIC/Custom),60,0.0,3,0.6666666666666666,0.0031855109120577283,0.02057995238463106
IC Design (ASIC/Custom),60,0.0025,80,0.475,-0.005246353920773458,-0.0055476711244220045
IC Design (ASIC/Custom),60,0.005,140,0.4785714285714286,0.005321269353023718,-0.0027549924525581693
IC Design (ASIC/Custom),60,0.01,222,0.4954954954954955,0.009177875933259973,-0.00033539438382990117
IC Design (ASIC/Custom),60,0.02,295,0.4847457627118644,0.0013106941174858857,-0.0012420337289784644
IC Design (ASIC/Custom),120,0.0,3,0.6666666666666666,0.0031855109120577283,0.02057995238463106
IC Design (ASIC/Custom),120,0.0025,71,0.4084507042253521,-0.0036881367752877245,-0.020929250476851347
IC Design (ASIC/Custom),120,0.005,112,0.4642857142857143,0.0033932711836087495,-0.009151066697958232
IC Design (ASIC/Custom),120,0.01,161,0.4782608695652174,0.007064469200893115,-0.003245233927426261
IC Design (ASIC/Custom),120,0.02,220,0.5227272727272727,0.00691879200626314,0.005319762881846657
IC Design (ASIC/Custom),240,0.0,3,0.6666666666666666,0.0031855109120577283,0.02057995238463106
IC Design (ASIC/Custom),240,0.0025,42,0.5714285714285714,0.014120541857383359,0.012112585593387015
IC Design (ASIC/Custom),240,0.005,85,0.49411764705882355,0.0017400072212429647,-0.0014790514855960168
IC Design (ASIC/Custom),240,0.01,139,0.5107913669064749,0.010166505679921237,0.0038060814656197817
IC Design (ASIC/Custom),240,0.02,158,0.4936708860759494,0.005545636121421417,-0.0015354604838413999
GPU/CPU & Compute,5,0.0,4,0.25,-0.05690618970308034,-0.035623261661179406
GPU/CPU & Compute,5,0.0025,312,0.5160256410256411,0.02656641112498277,0.0052142492556011
GPU/CPU & Compute,5,0.005,534,0.5374531835205992,0.03439402848022532,0.012557853465927526
GPU/CPU & Compute,5,0.01,750,0.5586666666666666,0.038060023819836794,0.020518016598482625
GPU/CPU & Compute,5,0.02,714,0.542016806722689,0.026357756795068583,0.012545449331314296
GPU/CPU & Compute,10,0.0,4,0.25,-0.05690618970308034,-0.035623261661179406
GPU/CPU & Compute,10,0.0025,198,0.5505050505050505,0.05001598629979538,0.00884693462027486
GPU/CPU & Compute,10,0.005,346,0.5520231213872833,0.04219551113325904,0.01203066377937645
GPU/CPU & Compute,10,0.01,540,0.55,0.04001439412521623,0.01316651194552565
GPU/CPU & Compute,10,0.02,622,0.5273311897106109,0.030963037326485882,0.009867093911696934
GPU/CPU & Compute,20,0.0,4,0.25,-0.05690618970308034,-0.035623261661179406
GPU/CPU & Compute,20,0.0025,115,0.4782608695652174,0.0036531322797801998,-0.004326311302629615
GPU/CPU & Compute,20,0.005,224,0.53125,0.031238007851503387,0.006098876171235501
GPU/CPU & Compute,20,0.01,363,0.5399449035812672,0.032096784163809206,0.006087124801138044
GPU/CPU & Compute,20,0.02,457,0.5251641137855579,0.027463196750950377,0.005145024072471305
GPU/CPU & Compute,60,0.0,4,0.25,-0.05690618970308034,-0.035623261661179406
GPU/CPU & Compute,60,0.0025,72,0.5416666666666666,0.03689131343983845,0.004726967199175647
GPU/CPU & Compute,60,0.005,124,0.5161290322580645,0.031972564792948945,0.003941737649203136
GPU/CPU & Compute,60,0.01,205,0.5219512195121951,0.026204789869018173,0.006394674580192827
GPU/CPU & Compute,60,0.02,277,0.5270758122743683,0.02556983600848205,0.011138172639153066
GPU/CPU & Compute,120,0.0,4,0.25,-0.05690618970308034,-0.035623261661179406
