sector,sharpe,sortino,max_drawdown
Thermal & Power Infrastructure,1.30157680716369,1.7275690495951004,-0.41506647838900423
Networking & Optical,1.1304027687837568,1.580070540823876,-0.42982466141269393
Memory & Storage,1.0414987711426857,1.62665994813706,-0.5264803231008495
Semicap Equipment,0.8514150502275727,1.27756023181146,-0.5241867180304445
GPU/CPU & Compute,0.821970057576907,1.3048402423085976,-0.5985557502399999
Cloud & Platforms,0.717240153184011,1.009868563393021,-0.5274069561482879
IC Design (ASIC/Custom),0.6673793506113413,1.0124803826737585,-0.46717199958351874
EDA & Design Software,0.5708572602365548,0.863805069904367,-0.29824175589286017
Analog & Power Semis,0.5568994814753131,0.883172454848324,-0.3867463024714398
Cybersecurity Software,0.5379564405480869,0.7438975064701244,-0.4990923200602896
Enterprise Software & Data,0.524324164372219,0.7820326514654348,-0.5698857359076408
Foundry & Manufacturing,0.49336065945684143,0.8012155103298623,-0.4375922864646675
Data Center REITs,0.17522840917019353,0.2677002147791147,-0.4095975335695927
