lookback,ma_window,top_k,rebalance_bars,total_return,cagr,sharpe,sortino,max_drawdown,win_rate,bench_total_return
40,20,4,10,0.2068384848282252,0.05542366606796567,0.3312963107905093,0.504720249017401,-0.6129585120102456,0.5011389521640092,0.7821501425102448
40,20,5,10,0.2512971745116903,0.0664358312700466,0.367876770954635,0.5660376942361866,-0.6071972775010746,0.4977220956719818,0.7821501425102448
40,20,2,10,0.11033666574200085,0.030485504740252578,0.2510373875707487,0.3591016014871957,-0.6580443603707337,0.49316628701594534,0.7821501425102448
20,20,4,5,0.515049325985274,0.1265959058428352,0.5658406811821673,0.8513396896684077,-0.4587759447693195,0.4908883826879271,0.7821501425102448
20,20,5,5,0.43586225220455455,0.10937634696417975,0.5115485872809455,0.7677564649880835,-0.47108336186411504,0.4886104783599089,0.7821501425102448
40,20,2,5,0.4344358256174743,0.10906002361124689,0.5038774212067328,0.7387890632889409,-0.5560777766546701,0.48519362186788156,0.7821501425102448
40,20,4,5,0.3089437121535996,0.08030663194442833,0.41545223824876926,0.6394115394138545,-0.5602848177147808,0.48519362186788156,0.7821501425102448
40,20,5,5,0.3073940009535929,0.07993950008478712,0.41451218372745374,0.6357346750531262,-0.5480741103329865,0.48519362186788156,0.7821501425102448
60,20,2,10,0.768166613625886,0.1776588926971836,0.6923015338107285,0.9919356536341735,-0.5796466655287875,0.48405466970387245,0.7821501425102448
20,20,4,10,0.25957207607231747,0.06845455823429547,0.37703786513366266,0.5519195982028675,-0.5797236464330577,0.48405466970387245,0.7821501425102448
40,20,3,10,0.1631623206418904,0.04431992806054974,0.2948143028777682,0.43762463041506383,-0.630252788536687,0.48405466970387245,0.7821501425102448
60,20,4,10,0.6750327515617538,0.15951644899878925,0.6612884139121922,0.9860673595568318,-0.5595631417614615,0.48177676537585423,0.7821501425102448
20,20,2,10,0.6498186925764156,0.1544814089115265,0.6376211641811025,0.9576709749937309,-0.5828249700586319,0.48177676537585423,0.7821501425102448
20,20,2,5,0.4706926853809237,0.11703171376715882,0.525149853451723,0.7961371555015478,-0.5103005463612615,0.48177676537585423,0.7821501425102448
20,60,3,10,0.41894581202501024,0.10561043912318047,0.48928847042704376,0.7261866418690173,-0.5975336829585386,0.48177676537585423,0.7821501425102448
20,20,3,5,0.6028780721919824,0.14495965352397633,0.6189086781427324,0.9491426804390812,-0.47311561432767757,0.4806378132118451,0.7821501425102448
